customer_id,segment,first_purchase_date,last_purchase_date,signup_channel,region,age_band
100043,Regular,2023-03-30,2024-12-02,Web,West,45-54
100044,Bargain,2023-01-04,2024-09-02,App,North,25-34
100045,Bargain,2023-01-03,2024-12-20,Web,East,45-54
100046,Regular,2023-01-07,2023-11-14,Web,West,25-34
100047,Regular,2023-03-08,2024-10-21,Web,East,35-44
100048,Regular,2023-01-11,2024-06-08,App,East,25-34
100049,Value,2023-01-11,2024-12-31,App,North,18-24
100050,Value,2023-01-20,2023-10-04,App,North,35-44
100051,Value,2023-01-09,2024-11-10,App,East,25-34
100052,Regular,2023-01-28,2024-11-12,App,West,35-44
100053,Regular,2023-01-17,2024-11-17,Store,South,35-44
100054,Regular,2023-01-18,2024-12-22,Web,South,25-34
100055,Regular,2023-01-14,2023-04-17,App,East,18-24
100056,Regular,2023-01-21,2024-11-17,App,North,35-44
100057,Regular,2023-01-20,2024-12-09,Web,North,25-34
100058,Value,2023-01-07,2024-12-18,Store,North,25-34
100059,Value,2023-01-01,2024-07-11,Web,South,35-44
100060,Regular,2023-07-04,2024-06-02,Web,West,35-44
100061,Regular,2023-01-03,2024-05-22,App,East,35-44
100062,Regular,2023-06-23,2024-02-01,Web,East,25-34
100063,Regular,2023-01-06,2024-08-17,Web,South,35-44
100064,Regular,2023-01-10,2024-12-03,App,West,45-54
100065,Regular,2023-05-27,2024-12-17,App,East,45-54
100066,Regular,2023-07-04,2024-10-17,App,West,25-34
100067,Regular,2023-01-11,2024-12-04,App,East,55+
100068,Value,2023-04-11,2024-07-13,App,West,35-44
100069,Regular,2023-01-05,2024-12-07,App,North,25-34
100070,Regular,2023-01-09,2024-05-01,App,East,55+
100071,Regular,2023-03-02,2024-11-17,Web,East,35-44
100072,Bargain,2023-01-26,2024-11-23,App,East,25-34
100073,Regular,2023-02-27,2024-12-18,App,North,35-44
100074,Value,2023-01-03,2024-11-18,Web,South,25-34
100075,Regular,2023-03-01,2024-05-26,App,West,25-34
100076,Regular,2023-02-16,2024-12-07,Store,East,25-34
100077,Regular,2023-04-30,2024-05-31,App,East,55+
100078,Regular,2023-08-27,2024-02-20,App,South,55+
100079,Regular,2023-01-03,2024-11-01,Store,North,18-24
100080,Regular,2023-06-16,2024-11-01,App,West,55+
100081,Regular,2023-01-22,2024-12-14,Web,South,25-34
100082,Bargain,2023-01-09,2024-12-06,Web,South,18-24
100083,Value,2023-01-03,2024-02-19,App,South,35-44
100084,Value,2023-01-20,2024-12-27,App,North,18-24
100085,Value,2023-03-09,2024-12-25,Web,West,25-34
100086,Regular,2023-01-23,2024-12-28,Web,South,35-44
100087,Regular,2023-01-11,2024-07-14,App,South,35-44
100088,Value,2023-02-21,2024-12-17,App,South,18-24
100089,Regular,2023-05-08,2023-12-05,App,North,25-34
100090,Value,2023-01-02,2024-12-12,App,West,25-34
100091,Regular,2023-01-22,2024-11-16,App,North,45-54
100092,Regular,2023-01-05,2024-08-10,App,South,45-54
100093,Regular,2023-01-01,2024-12-16,Web,South,35-44
100094,Regular,2023-03-08,2024-12-24,App,North,25-34
100095,Regular,2023-01-04,2024-11-10,Web,East,35-44
100096,Regular,2023-02-10,2024-12-27,App,North,25-34
100097,Value,2023-01-06,2024-11-10,Web,West,35-44
100098,Value,2023-01-13,2024-11-07,Store,North,35-44
100099,Bargain,2023-05-28,2024-08-03,App,North,35-44
100100,Bargain,2023-01-13,2024-10-28,Web,North,35-44
100101,Regular,2023-03-10,2023-10-03,App,West,55+
100102,Regular,2023-01-02,2024-07-16,App,North,18-24
100103,Bargain,2023-04-06,2024-10-12,App,North,55+
100104,Regular,2023-01-05,2024-12-23,Web,West,35-44
100105,Regular,2023-03-06,2024-12-19,Web,South,35-44
100106,Regular,2023-01-20,2024-10-05,App,West,55+
100107,Regular,2023-01-29,2024-04-02,App,East,25-34
100108,Value,2023-01-03,2024-12-23,App,West,18-24
100109,Bargain,2023-03-19,2024-11-24,App,North,25-34
100110,Regular,2023-04-08,2024-04-30,Web,South,35-44
100111,Regular,2023-03-12,2024-12-08,Web,South,35-44
100112,Regular,2023-02-21,2024-11-12,Web,South,45-54
100113,Regular,2023-03-06,2024-10-28,Web,South,55+
100114,Value,2023-01-02,2024-10-30,Web,East,25-34
100115,Bargain,2023-04-12,2024-11-04,App,West,25-34
100116,Regular,2023-01-20,2024-08-20,Web,East,18-24
100117,Regular,2023-01-09,2024-12-21,Web,East,45-54
100118,Regular,2023-11-12,2024-04-27,Web,East,55+
100119,Regular,2023-01-06,2024-08-02,Web,West,18-24
100120,Regular,2023-04-15,2024-08-03,Store,North,35-44
100121,Regular,2023-06-16,2024-11-02,Store,West,45-54
100122,Value,2023-01-04,2024-11-25,Web,East,35-44
100123,Regular,2023-01-21,2024-11-10,App,South,25-34
100124,Value,2023-01-14,2024-11-11,App,West,45-54
100125,Regular,2023-02-09,2024-06-20,App,South,45-54
100126,Regular,2023-02-22,2024-08-30,Web,South,25-34
100127,Value,2023-01-25,2023-10-06,Store,North,45-54
100128,Value,2023-01-06,2024-10-30,Web,West,45-54
100129,Regular,2023-02-21,2024-09-30,App,West,35-44
100130,Value,2023-01-13,2024-06-05,App,West,35-44
100131,Bargain,2023-02-07,2024-07-24,App,North,18-24
100132,Regular,2023-01-26,2023-10-25,App,West,55+
100133,Regular,2023-03-05,2024-11-05,Web,North,45-54
100134,Regular,2023-02-28,2024-11-06,App,South,35-44
100135,Value,2023-01-17,2024-12-09,App,North,35-44
100136,Bargain,2023-01-10,2023-09-02,App,East,35-44
100137,Regular,2023-01-11,2023-12-08,Web,South,25-34
100138,Regular,2023-03-17,2023-10-02,App,North,25-34
100139,Value,2023-01-08,2024-12-30,App,South,25-34
100140,Regular,2023-01-24,2024-10-23,App,South,35-44
100141,Regular,2023-02-03,2024-09-23,Web,South,25-34
100142,Bargain,2023-02-19,2024-02-01,Web,South,25-34
100143,Regular,2023-01-08,2024-12-23,App,North,25-34
100144,Regular,2023-01-15,2024-03-19,App,West,35-44
100145,Regular,2023-01-07,2024-12-23,App,East,35-44
100146,Regular,2023-02-22,2024-10-13,App,West,25-34
100147,Regular,2023-03-13,2024-12-03,App,West,25-34
100148,Regular,2023-03-21,2024-07-25,Web,North,35-44
100149,Value,2023-01-06,2023-12-31,App,North,35-44
100150,Bargain,2023-05-27,2024-08-07,Web,North,25-34
100151,Bargain,2023-03-26,2024-07-31,App,West,35-44
100152,Value,2023-02-02,2024-12-14,App,West,45-54
100153,Regular,2023-01-25,2024-06-10,Web,North,25-34
100154,Value,2023-01-12,2024-06-18,App,North,35-44
100155,Regular,2023-01-13,2023-12-16,Web,South,25-34
100156,Regular,2023-01-10,2023-10-22,App,North,18-24
100157,Regular,2023-03-08,2024-10-12,App,North,18-24
100158,Regular,2023-02-02,2024-10-18,App,North,45-54
100159,Regular,2023-01-21,2024-08-18,Store,South,35-44
100160,Value,2023-01-01,2024-11-10,App,East,45-54
100161,Bargain,2023-01-16,2024-11-16,App,West,18-24
100162,Regular,2023-03-05,2024-10-03,App,South,35-44
100163,Value,2023-01-05,2024-12-22,Store,North,18-24
100164,Regular,2023-01-01,2024-12-16,Web,East,18-24
100165,Regular,2023-01-01,2024-12-22,Web,North,25-34
100166,Bargain,2023-05-25,2024-12-31,App,East,25-34
100167,Bargain,2023-03-04,2024-11-17,Web,East,35-44
100168,Regular,2023-01-19,2023-10-27,Web,North,35-44
100169,Bargain,2023-01-25,2024-06-22,Web,South,25-34
100170,Regular,2023-01-16,2024-12-20,App,West,25-34
100171,Regular,2023-03-12,2024-09-21,Web,North,18-24
100172,Regular,2023-01-30,2024-11-10,Store,South,18-24
100173,Bargain,2023-01-24,2024-02-23,Store,East,25-34
100174,Value,2023-01-06,2024-11-12,Web,East,25-34
100175,Value,2023-03-11,2024-10-03,App,West,25-34
100176,Regular,2023-03-05,2024-07-16,App,East,35-44
100177,Bargain,2023-02-17,2023-11-21,Store,South,25-34
100178,Bargain,2023-03-30,2024-11-12,App,West,35-44
100179,Regular,2023-01-18,2024-12-31,App,West,35-44
100180,Bargain,2023-02-22,2024-07-25,Web,East,18-24
100181,Bargain,2023-06-24,2024-11-03,App,East,55+
100182,Regular,2023-01-27,2024-09-27,Web,East,25-34
100183,Regular,2023-01-11,2024-12-10,Web,South,18-24
100184,Regular,2023-01-19,2023-12-30,Web,North,18-24
100185,Regular,2023-02-13,2024-12-30,Web,South,25-34
100186,Regular,2023-07-21,2024-05-28,Store,West,25-34
100187,Value,2023-03-10,2024-11-07,App,West,45-54
100188,Regular,2023-01-04,2024-12-14,App,East,35-44
100189,Regular,2023-02-24,2024-12-06,App,North,35-44
100190,Bargain,2023-05-31,2024-12-18,Web,North,25-34
100191,Regular,2023-02-25,2024-12-01,Web,South,35-44
100192,Value,2023-01-26,2024-07-12,App,North,18-24
100193,Bargain,2023-01-28,2024-12-31,Web,North,25-34
100194,Value,2023-01-06,2024-11-28,App,East,45-54
100195,Value,2023-01-26,2024-12-22,App,South,25-34
100196,Regular,2023-06-24,2024-10-31,App,West,35-44
100197,Bargain,2023-02-08,2023-11-25,Web,East,18-24
100198,Value,2023-01-03,2024-12-28,App,East,25-34
100199,Regular,2023-01-27,2024-12-12,App,South,25-34
100200,Regular,2023-01-13,2024-04-12,App,North,35-44
100201,Bargain,2023-04-03,2024-06-22,Store,East,35-44
100202,Regular,2023-01-22,2024-08-17,Web,East,25-34
100203,Value,2023-02-12,2024-12-29,Store,South,35-44
100204,Value,2023-01-05,2024-04-16,App,North,35-44
100205,Regular,2023-01-01,2024-08-03,Web,East,18-24
100206,Value,2023-01-06,2024-11-01,Web,East,25-34
100207,Regular,2023-02-22,2024-12-21,App,South,45-54
100208,Value,2023-01-22,2024-07-15,App,South,55+
100209,Regular,2023-03-02,2024-05-31,Web,West,18-24
100210,Regular,2023-03-25,2024-12-29,Web,West,35-44
100211,Regular,2023-02-19,2023-11-03,Web,West,18-24
100212,Value,2023-01-05,2024-12-24,Web,South,55+
100213,Bargain,2023-02-08,2024-07-18,Web,North,25-34
100214,Regular,2023-01-03,2024-12-02,Web,North,18-24
100215,Regular,2023-01-15,2024-11-16,Store,West,25-34
100216,Value,2023-03-04,2024-11-15,Web,West,35-44
100217,Value,2023-01-12,2024-10-25,App,South,25-34
100218,Bargain,2023-02-04,2023-12-15,App,South,55+
100219,Regular,2023-02-01,2024-02-29,App,North,25-34
100220,Regular,2023-01-10,2024-03-11,Web,West,35-44
100221,Regular,2023-01-07,2024-12-12,App,North,18-24
100222,Regular,2023-03-16,2024-04-20,App,East,25-34
100223,Bargain,2023-05-09,2024-01-24,Web,East,35-44
100224,Regular,2023-03-17,2024-12-25,Web,North,25-34
100225,Bargain,2023-01-09,2024-06-30,Web,North,45-54
100226,Value,2023-01-13,2024-04-17,App,West,55+
100227,Regular,2023-04-24,2024-10-27,App,West,25-34
100228,Regular,2023-01-22,2024-03-27,App,North,25-34
100229,Value,2023-01-17,2023-09-03,Web,West,25-34
100230,Value,2023-01-26,2024-12-15,App,East,45-54
100231,Regular,2023-03-07,2024-12-19,App,West,25-34
100232,Bargain,2023-02-08,2024-08-08,Web,South,25-34
100233,Regular,2023-01-03,2024-11-16,Web,East,25-34
100234,Bargain,2023-02-06,2024-10-26,Web,North,25-34
100235,Bargain,2023-03-03,2024-11-29,App,West,35-44
100236,Regular,2023-01-13,2023-12-19,Web,South,45-54
100237,Regular,2023-01-06,2024-02-02,App,South,18-24
100238,Value,2023-01-14,2024-11-03,Web,East,45-54
100239,Value,2023-01-29,2024-12-30,Web,West,25-34
100240,Bargain,2023-01-28,2023-09-26,Store,East,55+
100241,Regular,2023-01-04,2023-10-08,App,East,35-44
100242,Regular,2023-01-02,2023-12-26,Web,South,45-54
100243,Regular,2023-01-20,2024-01-15,App,West,35-44
100244,Regular,2023-01-06,2024-12-29,App,West,35-44
100245,Bargain,2023-03-31,2024-12-20,Web,South,25-34
100246,Regular,2023-01-17,2024-12-25,App,East,35-44
100247,Regular,2023-01-28,2023-10-02,Web,East,18-24
100248,Regular,2023-02-26,2024-02-26,Store,East,45-54
100249,Regular,2023-01-06,2024-12-23,Web,East,55+
100250,Regular,2023-04-07,2024-12-28,App,South,45-54
100251,Bargain,2023-05-10,2023-09-11,Store,South,35-44
100252,Regular,2023-01-02,2024-02-22,App,North,35-44
100253,Regular,2023-03-01,2024-10-04,App,East,25-34
100254,Regular,2023-02-01,2024-12-05,Web,West,18-24
100255,Regular,2023-01-04,2024-12-21,Web,North,25-34
100256,Bargain,2023-01-03,2024-05-27,App,North,25-34
100257,Value,2023-04-29,2024-12-20,App,West,45-54
100258,Value,2023-01-13,2024-12-09,App,North,35-44
100259,Regular,2023-02-11,2024-03-11,App,South,35-44
100260,Value,2023-01-28,2024-11-08,Web,North,25-34
100261,Bargain,2023-01-18,2024-10-20,Web,North,25-34
100262,Regular,2023-01-31,2024-08-05,App,East,35-44
100263,Value,2023-01-06,2024-12-24,Web,East,35-44
100264,Bargain,2023-02-07,2024-07-09,Web,South,35-44
100265,Value,2023-02-18,2024-04-27,App,East,25-34
100266,Regular,2023-04-15,2024-07-08,App,North,18-24
100267,Value,2023-01-09,2024-12-05,Web,North,25-34
100268,Value,2023-01-09,2024-12-30,Web,East,35-44
100269,Value,2023-01-14,2024-12-25,Store,North,25-34
100270,Value,2023-01-04,2024-12-13,Web,North,55+
100271,Value,2023-01-24,2024-12-29,App,South,25-34
100272,Value,2023-01-01,2024-12-17,App,South,35-44
100273,Regular,2023-02-16,2024-12-28,App,South,55+
100274,Regular,2023-03-11,2024-12-09,App,South,35-44
100275,Regular,2023-01-14,2024-12-21,Web,East,35-44
100276,Regular,2023-03-03,2024-12-27,Web,North,45-54
100277,Regular,2023-03-01,2024-11-19,App,West,55+
100278,Bargain,2023-02-19,2024-12-04,App,South,25-34
100279,Bargain,2023-01-18,2024-12-22,App,North,25-34
100280,Value,2023-02-04,2024-12-05,Web,East,25-34
100281,Value,2023-01-11,2023-10-21,App,West,25-34
100282,Regular,2023-04-29,2024-12-07,Web,North,55+
100283,Regular,2023-01-04,2024-12-29,App,East,18-24
100284,Regular,2023-04-18,2024-08-02,Web,South,55+
100285,Regular,2023-01-21,2023-12-10,App,East,25-34
100286,Value,2023-01-11,2024-12-05,Store,North,18-24
100287,Regular,2023-02-01,2024-12-26,App,North,35-44
100288,Regular,2023-02-27,2024-06-08,Web,West,35-44
100289,Value,2023-01-16,2024-10-23,App,West,18-24
100290,Bargain,2023-03-31,2023-10-18,Web,East,25-34
100291,Value,2023-01-04,2024-12-17,App,North,25-34
100292,Bargain,2023-05-04,2024-12-12,App,North,35-44
100293,Value,2023-01-30,2024-12-03,Web,West,25-34
100294,Bargain,2023-01-25,2024-11-11,Web,South,45-54
100295,Bargain,2023-01-14,2024-09-28,App,West,25-34
100296,Bargain,2023-01-07,2024-12-11,App,North,18-24
100297,Bargain,2023-03-03,2024-04-03,Web,South,45-54
100298,Regular,2023-01-29,2024-08-31,App,West,55+
100299,Regular,2023-01-07,2024-06-16,App,South,25-34
100300,Regular,2023-02-25,2024-12-28,App,West,55+
100301,Value,2023-01-05,2024-12-30,App,North,35-44
100302,Regular,2023-01-05,2024-12-26,Store,East,35-44
100303,Regular,2023-01-13,2024-09-30,App,South,25-34
100304,Bargain,2023-01-07,2024-02-01,Web,North,45-54
100305,Regular,2023-01-14,2024-12-22,App,North,18-24
100306,Regular,2023-01-17,2024-11-20,App,West,25-34
100307,Regular,2023-03-14,2024-01-01,App,North,45-54
100308,Regular,2023-01-01,2024-03-14,App,South,55+
100309,Value,2023-02-08,2024-02-16,App,North,25-34
100310,Regular,2023-02-22,2024-12-15,App,North,55+
100311,Regular,2023-03-17,2024-03-15,Web,North,35-44
100312,Regular,2023-09-03,2024-01-30,Web,West,25-34
100313,Regular,2023-01-12,2024-12-18,Web,North,35-44
100314,Regular,2023-01-20,2023-09-28,App,West,55+
100315,Regular,2023-01-06,2024-12-26,Web,West,45-54
100316,Regular,2023-02-02,2024-03-24,Web,East,25-34
100317,Regular,2023-01-14,2024-11-21,Web,West,35-44
100318,Regular,2023-01-20,2024-08-22,Web,East,25-34
100319,Bargain,2023-01-06,2024-07-12,App,South,25-34
100320,Bargain,2023-02-10,2023-12-13,Web,North,45-54
100321,Regular,2023-01-14,2024-12-01,Web,North,18-24
100322,Regular,2023-01-11,2024-08-08,App,East,25-34
100323,Regular,2023-02-18,2024-04-15,Web,East,35-44
100324,Bargain,2023-02-16,2024-03-09,Web,South,35-44
100325,Regular,2023-01-28,2024-01-01,Web,East,45-54
100326,Bargain,2023-01-04,2024-12-27,App,North,35-44
100327,Regular,2023-01-08,2024-10-09,Web,North,35-44
100328,Regular,2023-01-19,2024-12-28,App,North,25-34
100329,Regular,2023-01-28,2023-11-21,Web,North,55+
100330,Regular,2023-03-18,2024-12-17,App,South,55+
100331,Regular,2023-01-19,2024-09-13,Web,East,18-24
100332,Regular,2023-07-13,2024-09-27,App,North,25-34
100333,Bargain,2023-12-14,2024-10-31,Web,West,18-24
100334,Value,2023-01-10,2024-12-06,Store,East,45-54
100335,Regular,2023-01-25,2024-11-11,App,North,55+
100336,Value,2023-01-03,2024-12-25,Web,East,25-34
100337,Regular,2023-01-03,2024-12-07,App,South,25-34
100338,Value,2023-03-09,2024-11-20,Store,South,25-34
100339,Bargain,2023-02-09,2023-10-29,Web,East,35-44
100340,Value,2023-01-03,2024-03-04,App,South,45-54
100341,Bargain,2023-01-30,2024-02-09,Web,East,18-24
100342,Bargain,2023-06-04,2024-12-01,Store,North,18-24
100343,Regular,2023-01-28,2024-09-26,App,North,45-54
100344,Regular,2023-01-27,2024-09-23,App,North,25-34
100345,Regular,2023-01-09,2024-11-06,Web,South,25-34
100346,Bargain,2023-03-02,2024-12-01,App,North,25-34
100347,Regular,2023-05-24,2024-08-10,App,South,45-54
100348,Regular,2023-02-07,2024-08-01,App,West,18-24
100349,Value,2023-01-06,2024-01-15,App,North,55+
100350,Regular,2023-01-28,2024-12-01,App,East,35-44
100351,Value,2023-01-01,2024-12-01,Web,North,35-44
100352,Regular,2023-03-28,2024-09-08,App,South,35-44
100353,Regular,2023-03-19,2024-11-11,Web,North,55+
100354,Regular,2023-02-05,2024-12-06,Web,South,25-34
100355,Regular,2023-02-10,2024-11-09,Web,South,45-54
100356,Regular,2023-01-11,2024-12-08,Web,West,45-54
100357,Regular,2023-01-18,2024-12-09,App,South,18-24
100358,Regular,2023-01-08,2024-11-23,Web,West,35-44
100359,Regular,2023-03-11,2024-12-18,App,North,55+
100360,Bargain,2023-01-11,2024-12-13,Web,South,25-34
100361,Value,2023-03-16,2024-09-19,Web,South,18-24
100362,Value,2023-01-11,2024-01-15,Store,East,35-44
100363,Value,2023-01-18,2024-12-20,App,South,45-54
100364,Regular,2023-04-01,2024-09-12,App,East,25-34
100365,Regular,2023-01-17,2024-11-21,Store,North,25-34
100366,Regular,2023-04-14,2024-12-26,App,East,18-24
100367,Regular,2023-02-17,2024-05-29,Web,South,55+
100368,Regular,2023-02-03,2024-08-16,Web,South,25-34
100369,Bargain,2023-01-11,2023-07-16,Web,East,35-44
100370,Regular,2023-02-24,2024-08-24,App,South,25-34
100371,Regular,2023-01-13,2024-10-01,Web,South,18-24
100372,Regular,2023-01-10,2024-08-06,Web,West,35-44
100373,Regular,2023-02-13,2024-09-08,App,South,25-34
100374,Value,2023-03-19,2024-12-20,Store,South,55+
100375,Value,2023-01-31,2024-12-23,Web,North,55+
100376,Bargain,2023-01-08,2024-01-06,Web,East,25-34
100377,Regular,2023-01-16,2024-12-27,App,South,18-24
100378,Regular,2023-01-01,2024-01-26,App,East,35-44
100379,Regular,2023-01-23,2024-12-07,App,East,35-44
100380,Regular,2023-02-09,2023-11-28,Web,North,25-34
100381,Bargain,2023-03-17,2024-11-14,Web,North,18-24
100382,Regular,2023-01-31,2024-11-24,Web,North,18-24
100383,Regular,2023-01-19,2023-11-28,App,South,25-34
100384,Regular,2023-02-25,2024-06-27,App,East,35-44
100385,Bargain,2023-01-16,2024-10-19,Web,South,18-24
100386,Regular,2023-04-13,2023-12-26,Store,East,25-34
100387,Bargain,2023-02-12,2024-05-11,Store,North,55+
100388,Value,2023-01-14,2024-12-11,App,West,25-34
100389,Bargain,2023-01-05,2024-11-10,Web,South,18-24
100390,Regular,2023-01-21,2024-10-18,App,South,18-24
100391,Value,2023-01-05,2024-11-24,App,East,55+
100392,Regular,2023-01-04,2024-12-05,Web,North,25-34
100393,Regular,2023-02-07,2024-10-19,Store,North,45-54
100394,Value,2023-02-10,2024-12-15,Store,West,25-34
100395,Regular,2023-01-16,2024-11-23,Web,East,25-34
100396,Bargain,2023-01-13,2024-05-21,App,North,45-54
100397,Regular,2023-01-04,2024-07-09,App,South,35-44
100398,Regular,2023-01-10,2024-12-16,Web,North,18-24
100399,Regular,2023-02-10,2024-09-11,Web,West,35-44
100400,Regular,2023-01-02,2024-10-08,Web,North,45-54
100401,Bargain,2023-02-09,2024-06-06,App,East,18-24
100402,Regular,2023-01-02,2024-12-27,App,East,55+
100403,Value,2023-02-17,2024-07-26,Store,South,45-54
100404,Bargain,2023-01-03,2024-11-15,App,East,55+
100405,Bargain,2023-01-16,2024-09-11,Web,South,25-34
100406,Regular,2023-02-02,2024-12-12,Web,South,55+
100407,Bargain,2023-04-22,2024-02-10,App,West,25-34
100408,Value,2023-04-08,2024-06-15,App,South,45-54
100409,Bargain,2023-01-05,2024-12-11,Web,South,45-54
100410,Regular,2023-01-13,2023-12-01,App,South,25-34
100411,Regular,2023-01-07,2024-12-09,App,East,45-54
100412,Value,2023-01-26,2023-11-05,Web,North,25-34
100413,Bargain,2023-01-05,2024-03-06,Web,South,25-34
100414,Value,2023-01-11,2024-11-26,Web,East,18-24
100415,Regular,2023-02-11,2024-12-30,App,North,18-24
100416,Value,2023-02-16,2024-12-19,App,West,25-34
100417,Regular,2023-02-12,2024-10-20,Web,South,25-34
100418,Value,2023-01-03,2023-10-03,Store,East,35-44
100419,Bargain,2023-02-04,2024-12-22,App,North,35-44
100420,Regular,2023-03-02,2024-11-20,App,East,25-34
100421,Value,2023-03-24,2024-10-30,App,South,18-24
100422,Value,2023-01-10,2024-11-29,App,West,45-54
100423,Value,2023-01-04,2024-04-09,App,South,25-34
100424,Regular,2023-01-23,2024-11-05,App,West,35-44
100425,Bargain,2023-01-04,2024-08-19,App,North,35-44
100426,Regular,2023-01-15,2024-12-28,Store,North,55+
100427,Bargain,2023-08-15,2024-09-27,Store,North,25-34
100428,Value,2023-01-04,2024-12-22,App,West,25-34
100429,Bargain,2023-02-08,2024-10-27,Web,South,35-44
100430,Bargain,2023-01-10,2024-12-22,App,North,18-24
100431,Regular,2023-01-24,2024-12-22,App,South,18-24
100432,Regular,2023-03-07,2024-11-25,Web,North,25-34
100433,Bargain,2023-06-12,2024-10-31,Web,East,35-44
100434,Value,2023-02-02,2024-12-17,App,East,25-34
100435,Regular,2023-03-15,2023-05-05,Web,North,25-34
100436,Value,2023-02-01,2024-12-27,App,South,45-54
100437,Regular,2023-01-21,2023-11-06,Web,North,35-44
100438,Regular,2023-01-02,2024-12-09,App,West,35-44
100439,Regular,2023-01-19,2024-07-23,Web,East,25-34
100440,Bargain,2023-01-22,2024-02-13,Web,West,25-34
100441,Value,2023-02-02,2024-09-30,App,West,55+
100442,Regular,2023-01-03,2024-11-27,App,West,45-54
100443,Value,2023-03-05,2024-12-20,Web,West,18-24
100444,Regular,2023-05-04,2024-09-10,Web,East,35-44
100445,Regular,2023-01-15,2024-06-14,Web,West,25-34
100446,Bargain,2023-03-17,2024-12-03,App,East,45-54
100447,Regular,2023-01-13,2024-08-25,Store,North,45-54
100448,Value,2023-01-29,2024-11-16,Web,East,35-44
100449,Regular,2023-01-29,2024-12-27,App,South,45-54
100450,Value,2023-01-12,2024-04-22,App,East,18-24
100451,Bargain,2023-02-11,2024-11-28,Web,East,25-34
100452,Regular,2023-04-07,2024-12-15,Store,North,35-44
100453,Value,2023-01-18,2024-08-31,Web,West,35-44
100454,Value,2023-02-05,2024-11-26,App,East,45-54
100455,Value,2023-01-09,2024-11-29,Web,South,25-34
100456,Bargain,2023-02-02,2024-03-01,Web,North,55+
100457,Regular,2023-02-17,2024-12-04,App,South,35-44
100458,Regular,2023-02-09,2023-11-06,App,East,35-44
100459,Regular,2023-04-18,2024-03-15,App,East,35-44
100460,Regular,2023-01-19,2024-12-13,Web,North,35-44
100461,Value,2023-01-07,2024-06-04,App,West,25-34
100462,Bargain,2023-02-24,2024-10-20,Web,North,35-44
100463,Regular,2023-02-08,2024-12-26,Store,East,45-54
100464,Regular,2023-04-05,2024-04-08,App,North,55+
100465,Regular,2023-02-07,2024-12-02,Store,West,55+
100466,Regular,2023-04-14,2024-09-21,Store,South,55+
100467,Bargain,2023-01-23,2023-12-14,App,West,35-44
100468,Value,2023-01-19,2024-12-15,App,East,35-44
100469,Regular,2023-02-19,2024-09-23,Web,West,45-54
100470,Regular,2023-01-12,2024-12-27,App,West,35-44
100471,Regular,2023-04-03,2023-12-26,App,East,45-54
100472,Value,2023-01-05,2024-12-24,App,South,55+
100473,Value,2023-02-24,2024-10-06,Web,North,25-34
