transaction_id,customer_id,order_date,gross_value,items,channel,category,discount_pct,region,payment_method,net_value,customer_segment
32,100003,2023-06-12,84.48,2,Web,Beauty,14.35,North,UPI,72.36,Regular
33,100003,2023-07-22,118.44,3,Web,Electronics,11.02,East,Card,105.39,Regular
34,100003,2023-10-23,53.64,5,Web,Electronics,4.62,West,Card,51.16,Regular
35,100003,2023-12-27,36.4,2,App,Electronics,8.63,East,COD,33.26,Regular
36,100003,2024-01-30,69.03,1,App,Grocery,0.83,East,UPI,68.46,Regular
37,100003,2024-02-05,46.41,4,Web,Electronics,6.48,North,COD,43.4,Regular
38,100003,2024-03-05,68.4,4,App,Grocery,10.75,South,Card,61.05,Regular
39,100003,2024-03-31,199.95,4,App,Grocery,7.02,South,UPI,185.91,Regular
40,100003,2024-04-15,16.82,3,App,Fashion,0.0,West,Card,16.82,Regular
41,100003,2024-04-15,74.12,4,App,Home,3.75,South,Card,71.34,Regular
42,100003,2024-06-02,35.27,4,App,Home,11.53,South,UPI,31.21,Regular
43,100004,2023-02-02,212.56,2,Web,Beauty,3.42,West,Card,205.28,Value
44,100004,2023-02-11,43.07,4,App,Fashion,4.7,South,Wallet,41.05,Value
45,100004,2023-02-22,41.69,4,Web,Electronics,13.99,West,Wallet,35.86,Value
46,100004,2023-07-16,79.97,5,Web,Fashion,0.15,South,Card,79.85,Value
47,100004,2023-08-03,270.69,1,Web,Electronics,1.53,East,Card,266.54,Value
48,100004,2023-08-26,123.07,1,App,Grocery,2.75,East,Card,119.69,Value
49,100004,2023-09-13,90.75,3,Web,Grocery,5.15,South,Card,86.08,Value
50,100004,2023-10-04,70.02,4,App,Home,11.14,West,Card,62.22,Value
51,100004,2023-10-25,104.86,4,App,Fashion,0.92,West,Card,103.89,Value
52,100004,2023-11-04,39.43,3,App,Electronics,10.98,South,UPI,35.1,Value
53,100004,2023-11-05,57.82,3,Web,Electronics,4.78,North,Card,55.05,Value
54,100004,2023-11-18,73.06,4,Store,Electronics,0.62,West,Card,72.6,Value
55,100004,2023-11-26,175.68,5,Web,Fashion,2.89,West,Card,170.6,Value
56,100004,2023-12-09,29.68,1,App,Fashion,1.34,South,UPI,29.28,Value
57,100004,2024-01-01,149.08,3,App,Beauty,1.88,West,Card,146.28,Value
58,100004,2024-01-24,86.98,3,App,Grocery,13.83,South,Wallet,74.96,Value
59,100004,2024-04-23,57.25,3,App,Electronics,19.9,East,Card,45.85,Value
60,100004,2024-05-26,61.4,4,Web,Electronics,7.83,East,Card,56.6,Value
61,100004,2024-06-07,70.2,1,Web,Fashion,23.16,South,UPI,53.94,Value
62,100005,2023-02-08,33.49,4,App,Sports,1.2,South,COD,33.08,Bargain
63,100005,2023-02-17,15.85,3,App,Home,17.88,West,Card,13.02,Bargain
64,100005,2023-03-13,56.33,1,Web,Grocery,7.68,South,Wallet,52.0,Bargain
65,100005,2023-03-18,29.3,3,Store,Fashion,13.96,North,UPI,25.21,Bargain
66,100005,2023-04-03,36.39,5,Web,Electronics,15.44,West,Card,30.77,Bargain
67,100005,2023-09-04,62.36,2,App,Home,0.0,North,Card,62.36,Bargain
68,100005,2023-09-12,133.12,3,Web,Fashion,17.35,North,UPI,110.03,Bargain
69,100005,2023-10-31,47.68,3,Web,Fashion,17.29,East,Card,39.44,Bargain
70,100005,2023-12-27,22.49,4,Web,Grocery,19.49,South,UPI,18.1,Bargain
71,100005,2024-01-05,43.33,3,App,Home,6.86,South,Card,40.36,Bargain
72,100005,2024-05-01,36.19,5,Web,Sports,2.51,West,Card,35.28,Bargain
73,100005,2024-06-26,21.77,5,App,Home,4.06,South,UPI,20.89,Bargain
74,100005,2024-07-02,6.57,4,App,Beauty,0.22,North,Card,6.56,Bargain
75,100005,2024-08-08,27.71,2,Store,Sports,13.25,North,Card,24.03,Bargain
76,100005,2024-12-29,15.92,3,Web,Grocery,9.98,South,Card,14.34,Bargain
77,100005,2024-12-30,16.6,2,App,Fashion,1.42,South,Card,16.36,Bargain
78,100006,2023-04-13,61.66,4,Store,Fashion,7.78,South,UPI,56.86,Regular
79,100006,2023-08-09,15.28,6,Store,Beauty,17.28,West,UPI,12.64,Regular
80,100006,2023-11-09,49.32,3,App,Sports,17.09,East,UPI,40.89,Regular
81,100006,2023-11-13,59.13,4,Web,Grocery,8.75,South,UPI,53.96,Regular
82,100006,2024-03-14,88.43,2,Web,Electronics,2.64,South,Wallet,86.1,Regular
83,100006,2024-03-31,60.89,6,Web,Home,11.41,East,Card,53.95,Regular
84,100006,2024-04-07,35.86,3,App,Electronics,5.55,East,Card,33.87,Regular
85,100006,2024-05-29,25.79,1,Web,Grocery,22.38,West,Wallet,20.02,Regular
86,100006,2024-07-06,21.14,7,Web,Electronics,7.33,South,Card,19.59,Regular
87,100006,2024-07-25,83.59,3,Web,Beauty,9.33,South,UPI,75.79,Regular
88,100006,2024-09-02,48.38,1,App,Fashion,3.23,West,COD,46.82,Regular
89,100006,2024-09-24,47.81,3,Web,Home,15.68,North,UPI,40.31,Regular
90,100006,2024-12-22,39.45,6,Web,Fashion,19.43,West,Card,31.79,Regular
91,100007,2023-02-01,165.33,3,App,Fashion,7.76,South,Card,152.5,Regular
92,100007,2023-02-24,60.12,3,App,Home,0.0,West,UPI,60.12,Regular
93,100007,2023-03-20,79.67,2,Store,Fashion,14.11,West,Card,68.42,Regular
94,100007,2023-03-29,17.24,3,Web,Electronics,8.89,North,Wallet,15.7,Regular
95,100007,2023-05-08,59.17,3,App,Beauty,14.57,North,Card,50.55,Regular
96,100007,2023-05-15,44.42,3,App,Electronics,6.27,East,Card,41.64,Regular
97,100007,2023-08-25,32.64,1,Web,Fashion,6.89,East,Card,30.39,Regular
98,100007,2023-09-21,130.24,1,Web,Home,5.08,South,UPI,123.63,Regular
99,100007,2023-12-07,57.21,3,Web,Grocery,6.44,North,Card,53.52,Regular
100,100007,2023-12-09,59.13,3,App,Beauty,1.94,West,Card,57.98,Regular
101,100007,2023-12-24,58.13,2,App,Beauty,15.97,West,Card,48.85,Regular
102,100007,2024-03-08,54.32,2,App,Fashion,15.03,South,Wallet,46.16,Regular
103,100007,2024-05-09,54.33,2,App,Home,2.23,South,Card,53.12,Regular
104,100008,2023-01-06,63.27,1,Store,Electronics,1.22,North,Card,62.5,Value
105,100008,2023-01-18,29.4,2,Web,Electronics,8.49,North,Wallet,26.9,Value
106,100008,2023-02-22,97.02,2,Store,Electronics,0.0,West,UPI,97.02,Value
107,100008,2023-02-24,51.16,4,Web,Fashion,0.0,South,Wallet,51.16,Value
108,100008,2023-03-15,52.44,6,Web,Beauty,5.96,South,Card,49.32,Value
109,100008,2023-03-15,66.55,6,App,Grocery,20.23,East,Card,53.09,Value
110,100008,2023-03-19,132.59,4,Web,Fashion,7.67,South,Card,122.43,Value
111,100008,2023-03-19,70.48,4,App,Grocery,4.93,East,UPI,67.0,Value
112,100008,2023-04-01,126.44,2,App,Grocery,22.75,East,UPI,97.68,Value
113,100008,2023-04-24,50.92,5,Web,Electronics,4.9,West,COD,48.43,Value
114,100008,2023-05-29,40.96,1,Web,Electronics,0.0,West,Card,40.96,Value
115,100008,2023-06-13,62.4,2,App,Electronics,9.03,East,Wallet,56.76,Value
116,100008,2023-06-18,53.03,2,Web,Sports,15.37,South,Card,44.88,Value
117,100008,2023-07-11,26.5,2,App,Grocery,7.3,West,Card,24.56,Value
118,100008,2023-07-12,35.07,6,Web,Home,0.0,East,COD,35.07,Value
119,100008,2023-09-26,45.58,1,Web,Grocery,0.0,North,Card,45.58,Value
120,100008,2023-12-01,79.9,3,Web,Electronics,0.0,North,UPI,79.9,Value
121,100008,2023-12-02,154.09,2,Web,Grocery,1.05,North,Card,152.47,Value
122,100008,2024-01-04,274.41,2,App,Sports,1.41,North,Card,270.53,Value
123,100008,2024-01-31,156.21,5,App,Electronics,6.43,South,UPI,146.16,Value
124,100008,2024-02-04,27.26,7,Store,Home,4.69,East,Card,25.99,Value
125,100008,2024-02-23,111.2,5,App,Grocery,2.07,East,UPI,108.9,Value
126,100008,2024-03-12,73.6,3,App,Sports,15.26,East,UPI,62.37,Value
127,100008,2024-03-15,101.13,4,Web,Fashion,7.18,South,UPI,93.86,Value
128,100008,2024-03-18,98.27,4,Web,Beauty,6.54,West,Card,91.85,Value
129,100008,2024-03-19,74.39,4,App,Grocery,5.55,South,COD,70.26,Value
130,100008,2024-06-21,44.21,3,Web,Grocery,5.78,East,Card,41.66,Value
131,100008,2024-06-30,67.5,3,Web,Fashion,2.98,North,UPI,65.49,Value
132,100008,2024-07-28,50.27,3,Web,Sports,10.67,South,UPI,44.91,Value
133,100008,2024-09-01,46.97,6,Web,Sports,2.76,West,COD,45.67,Value
134,100008,2024-09-22,108.74,1,App,Home,4.17,South,UPI,104.21,Value
135,100008,2024-10-21,171.02,1,Web,Grocery,2.18,West,UPI,167.29,Value
136,100008,2024-10-26,56.91,2,App,Grocery,14.35,East,UPI,48.75,Value
137,100008,2024-12-13,67.89,3,App,Fashion,8.21,South,Card,62.32,Value
138,100008,2024-12-22,56.96,5,App,Electronics,11.11,South,Card,50.63,Value
139,100009,2023-03-07,90.15,2,Web,Sports,6.58,East,UPI,84.22,Regular
140,100009,2023-03-19,39.83,5,Web,Fashion,9.04,West,Card,36.23,Regular
141,100009,2023-04-29,41.14,4,Web,Home,11.68,West,Card,36.34,Regular
142,100009,2023-05-06,115.95,2,App,Beauty,4.47,North,COD,110.77,Regular
143,100009,2023-07-18,101.92,5,Store,Fashion,10.64,East,UPI,91.08,Regular
144,100009,2023-07-22,107.69,5,App,Fashion,17.39,South,Wallet,88.96,Regular
145,100009,2023-09-14,60.9,4,Web,Electronics,5.23,West,Wallet,57.71,Regular
146,100009,2023-12-06,105.91,7,Web,Sports,14.85,West,Card,90.19,Regular
147,100009,2024-01-19,55.01,6,App,Electronics,5.06,West,Card,52.22,Regular
148,100009,2024-03-02,44.69,6,Web,Sports,7.86,West,UPI,41.18,Regular
149,100009,2024-04-21,30.82,5,App,Fashion,10.39,South,Card,27.61,Regular
150,100009,2024-07-24,44.22,3,App,Electronics,20.8,East,Card,35.03,Regular
151,100009,2024-10-15,127.05,9,Web,Grocery,3.5,South,Card,122.6,Regular
152,100009,2024-10-17,52.87,3,App,Fashion,9.73,East,Wallet,47.72,Regular
153,100009,2024-12-02,32.15,5,App,Grocery,14.09,South,UPI,27.62,Regular
154,100010,2023-01-22,53.93,2,Web,Fashion,0.0,North,Wallet,53.93,Regular
155,100010,2023-01-27,16.73,7,App,Fashion,19.11,South,Card,13.53,Regular
156,100010,2023-02-27,42.55,3,Web,Fashion,7.42,South,UPI,39.39,Regular
157,100010,2023-03-08,116.59,2,App,Beauty,9.27,East,COD,105.78,Regular
158,100010,2023-03-26,53.56,4,Web,Sports,14.94,North,COD,45.56,Regular
159,100010,2023-05-20,95.77,3,App,Home,0.0,West,Card,95.77,Regular
160,100010,2023-05-30,77.52,1,App,Fashion,3.72,North,UPI,74.64,Regular
161,100010,2023-06-24,46.15,5,App,Grocery,11.31,West,Card,40.93,Regular
162,100010,2023-07-02,129.67,6,App,Beauty,3.84,East,Card,124.7,Regular
163,100010,2023-08-10,40.5,6,Web,Home,10.43,West,Card,36.28,Regular
164,100010,2023-08-27,33.93,7,Web,Grocery,3.14,South,UPI,32.86,Regular
165,100010,2023-09-09,48.54,4,Web,Grocery,17.23,South,UPI,40.18,Regular
166,100010,2023-12-31,60.45,4,Store,Home,1.22,North,Card,59.71,Regular
167,100010,2024-01-18,70.23,5,Web,Home,11.61,West,UPI,62.07,Regular
168,100010,2024-01-20,51.4,2,Store,Grocery,5.69,North,Card,48.47,Regular
169,100010,2024-03-13,42.67,2,Web,Grocery,9.23,West,UPI,38.73,Regular
170,100010,2024-04-01,77.24,4,Store,Grocery,0.0,North,Card,77.24,Regular
171,100011,2023-01-08,48.53,3,App,Electronics,5.01,East,Card,46.1,Bargain
172,100011,2023-02-11,126.87,1,Store,Home,2.36,West,Card,123.88,Bargain
173,100011,2023-05-25,28.12,3,Web,Grocery,16.46,East,UPI,23.49,Bargain
174,100011,2023-05-28,39.01,7,App,Home,13.35,North,UPI,33.8,Bargain
175,100011,2023-07-28,93.05,4,App,Fashion,7.35,North,Card,86.21,Bargain
176,100011,2023-09-13,33.12,5,Web,Sports,11.88,North,UPI,29.18,Bargain
177,100011,2023-09-25,40.67,4,Store,Electronics,10.55,South,Card,36.38,Bargain
178,100011,2023-10-12,33.66,3,App,Home,5.74,East,UPI,31.73,Bargain
179,100011,2023-11-22,51.37,4,Web,Fashion,0.0,North,COD,51.37,Bargain
180,100011,2023-12-09,167.43,1,Web,Home,11.82,North,Card,147.65,Bargain
181,100011,2024-02-01,87.73,3,Web,Fashion,8.59,South,Card,80.2,Bargain
182,100011,2024-03-03,36.27,3,App,Sports,10.65,East,Card,32.41,Bargain
183,100011,2024-03-13,31.43,3,Web,Beauty,7.34,North,COD,29.12,Bargain
184,100011,2024-04-09,30.47,8,Web,Beauty,5.9,South,Card,28.67,Bargain
185,100011,2024-04-21,16.49,4,Web,Home,0.0,East,UPI,16.49,Bargain
186,100011,2024-08-04,54.09,5,Web,Fashion,1.78,East,Card,53.13,Bargain
187,100011,2024-11-21,40.76,6,App,Fashion,8.14,South,UPI,37.44,Bargain
188,100011,2024-11-29,82.58,2,App,Home,4.5,West,UPI,78.87,Bargain
189,100012,2023-02-19,31.73,4,App,Fashion,16.7,North,UPI,26.43,Regular
190,100012,2023-02-26,16.72,2,Web,Grocery,4.65,East,Card,15.94,Regular
191,100012,2023-04-08,24.09,4,App,Fashion,6.0,East,Card,22.65,Regular
192,100012,2023-04-23,40.99,4,Web,Electronics,4.5,West,UPI,39.14,Regular
193,100012,2023-04-30,68.0,3,Web,Grocery,11.26,North,Card,60.34,Regular
194,100012,2023-06-30,75.4,1,App,Grocery,9.9,West,UPI,67.94,Regular
195,100012,2023-07-03,55.04,3,Web,Grocery,7.05,North,Wallet,51.16,Regular
196,100012,2023-07-19,58.5,4,App,Sports,0.0,West,Card,58.5,Regular
197,100012,2023-08-05,47.78,4,App,Sports,9.73,West,COD,43.13,Regular
198,100012,2023-11-10,50.59,4,Web,Fashion,2.19,East,Card,49.48,Regular
199,100012,2023-11-13,72.24,5,Web,Beauty,10.06,North,Card,64.97,Regular
200,100012,2023-11-17,37.68,8,App,Home,10.42,North,UPI,33.75,Regular
201,100012,2023-12-29,75.7,1,Web,Grocery,0.0,North,Card,75.7,Regular
202,100012,2024-01-04,79.18,1,App,Home,1.51,North,Card,77.99,Regular
203,100012,2024-03-01,25.93,5,Web,Fashion,0.0,West,COD,25.93,Regular
204,100012,2024-03-23,117.51,2,App,Fashion,5.84,North,Card,110.65,Regular
205,100013,2023-04-13,43.13,6,App,Home,0.0,North,Card,43.13,Bargain
206,100013,2023-07-29,118.69,6,App,Electronics,15.6,East,COD,100.17,Bargain
207,100013,2023-08-13,33.32,3,Web,Electronics,14.37,East,Card,28.53,Bargain
208,100013,2023-08-27,34.31,5,App,Fashion,11.95,East,Card,30.21,Bargain
209,100013,2023-11-20,25.58,3,App,Sports,9.59,East,Card,23.13,Bargain
210,100013,2023-12-06,18.76,3,Store,Sports,9.86,South,Wallet,16.91,Bargain
211,100013,2023-12-07,23.62,1,Web,Electronics,17.44,East,Card,19.5,Bargain
212,100013,2024-04-24,69.03,2,App,Home,6.59,South,Wallet,64.48,Bargain
213,100013,2024-06-18,106.79,1,App,Home,12.24,North,Card,93.71,Bargain
214,100013,2024-07-30,68.02,3,App,Beauty,16.36,East,Card,56.89,Bargain
215,100014,2023-02-06,85.34,1,Web,Grocery,12.56,South,UPI,74.62,Regular
216,100014,2023-02-13,181.08,4,App,Fashion,7.6,East,Card,167.31,Regular
217,100014,2023-02-25,29.83,3,App,Sports,0.0,East,Card,29.83,Regular
218,100014,2023-06-30,234.81,2,App,Grocery,7.46,East,Card,217.29,Regular
219,100014,2023-07-19,102.62,5,Store,Home,2.44,West,Card,100.12,Regular
220,100014,2023-08-01,58.85,2,Web,Grocery,6.93,West,COD,54.77,Regular
221,100014,2023-08-18,50.27,1,Web,Beauty,20.38,South,UPI,40.02,Regular
222,100014,2023-09-14,105.67,2,App,Fashion,4.54,North,Card,100.87,Regular
223,100014,2023-09-16,47.76,3,App,Electronics,3.92,North,COD,45.89,Regular
224,100014,2023-09-23,16.92,3,Web,Home,3.3,West,Wallet,16.36,Regular
225,100014,2023-11-21,50.68,6,Web,Electronics,11.0,West,UPI,45.1,Regular
226,100014,2023-12-25,36.19,1,App,Electronics,4.12,East,UPI,34.7,Regular
227,100014,2024-01-14,58.8,4,Web,Sports,9.48,South,Wallet,53.23,Regular
228,100015,2023-01-13,119.58,5,App,Fashion,4.44,South,UPI,114.27,Regular
229,100015,2023-03-03,36.27,1,Web,Electronics,4.73,South,UPI,34.55,Regular
230,100015,2023-03-12,129.04,2,Web,Grocery,5.43,East,UPI,122.03,Regular
231,100015,2023-06-23,32.12,3,Web,Grocery,13.97,South,Card,27.63,Regular
232,100015,2023-09-20,70.48,2,Web,Fashion,4.34,North,UPI,67.42,Regular
233,100015,2023-09-30,36.63,6,Web,Grocery,5.25,West,Card,34.7,Regular
234,100015,2023-10-02,103.06,6,Store,Grocery,12.26,South,Card,90.42,Regular
235,100015,2023-12-13,156.99,2,App,Electronics,0.0,West,Card,156.99,Regular
236,100015,2023-12-15,84.46,3,Web,Home,21.33,East,Card,66.44,Regular
237,100015,2024-02-15,56.55,1,Web,Grocery,0.52,West,Card,56.25,Regular
238,100015,2024-02-25,20.29,3,Web,Grocery,16.35,East,Card,16.97,Regular
239,100015,2024-07-05,67.83,2,App,Electronics,7.03,North,COD,63.06,Regular
240,100015,2024-08-04,43.33,3,Store,Grocery,4.62,East,Card,41.32,Regular
241,100015,2024-09-03,49.28,5,App,Fashion,10.31,South,UPI,44.2,Regular
242,100015,2024-10-17,33.76,3,Web,Home,14.01,North,COD,29.03,Regular
243,100016,2023-03-06,48.93,2,App,Grocery,4.34,West,UPI,46.8,Regular
244,100016,2023-05-29,176.47,5,Web,Grocery,11.61,South,Wallet,155.99,Regular
245,100016,2023-09-22,32.1,3,Web,Home,1.89,South,Wallet,31.49,Regular
246,100016,2023-10-22,65.75,4,Web,Home,6.81,West,Wallet,61.28,Regular
247,100016,2023-11-06,51.15,2,Web,Grocery,5.38,West,COD,48.4,Regular
248,100016,2023-11-12,32.43,3,App,Home,2.05,East,Wallet,31.77,Regular
249,100016,2023-12-29,32.97,2,App,Grocery,1.88,North,Card,32.35,Regular
250,100016,2024-02-18,30.41,1,App,Electronics,5.19,East,Wallet,28.83,Regular
251,100016,2024-03-11,48.75,9,App,Sports,11.3,North,Card,43.25,Regular
252,100016,2024-06-04,94.93,5,App,Electronics,8.02,North,Wallet,87.32,Regular
253,100016,2024-06-12,20.85,3,Web,Grocery,13.18,East,Card,18.1,Regular
254,100016,2024-06-25,87.66,3,App,Fashion,10.24,South,UPI,78.69,Regular
255,100016,2024-06-26,67.31,5,App,Electronics,1.5,South,UPI,66.31,Regular
256,100016,2024-07-02,68.34,2,App,Fashion,0.0,West,Card,68.34,Regular
257,100016,2024-08-07,61.22,1,App,Home,5.35,North,COD,57.95,Regular
258,100016,2024-08-19,58.2,2,App,Grocery,10.06,South,UPI,52.34,Regular
259,100016,2024-08-20,34.0,3,App,Beauty,1.58,East,UPI,33.46,Regular
260,100016,2024-09-07,43.92,3,Web,Sports,3.97,South,Card,42.17,Regular
261,100016,2024-09-25,36.17,2,Store,Beauty,6.61,West,Card,33.78,Regular
262,100016,2024-12-03,70.84,3,Web,Fashion,8.42,North,UPI,64.88,Regular
263,100017,2023-02-01,104.0,5,App,Electronics,0.63,North,Card,103.34,Value
264,100017,2023-02-10,54.7,5,Web,Fashion,13.35,East,Card,47.4,Value
265,100017,2023-02-10,59.99,5,Web,Fashion,1.24,East,UPI,59.24,Value
266,100017,2023-03-21,64.49,2,App,Grocery,4.94,North,UPI,61.3,Value
267,100017,2023-03-22,82.73,2,App,Beauty,4.34,North,Wallet,79.14,Value
268,100017,2023-05-31,74.83,2,Store,Grocery,9.0,East,UPI,68.1,Value
269,100017,2023-06-14,28.37,2,Store,Grocery,2.09,West,COD,27.78,Value
270,100017,2023-07-16,106.15,2,Web,Electronics,10.09,West,Card,95.44,Value
271,100017,2023-07-28,29.44,2,Web,Home,5.76,South,COD,27.74,Value
272,100017,2023-08-06,58.56,1,Web,Electronics,0.0,North,Card,58.56,Value
273,100017,2023-08-31,74.27,1,App,Fashion,2.19,East,Wallet,72.64,Value
274,100017,2023-10-07,176.67,3,Store,Electronics,6.99,West,Card,164.32,Value
275,100017,2023-10-20,54.26,4,App,Fashion,16.73,East,COD,45.18,Value
276,100017,2023-12-02,160.53,1,Store,Grocery,15.7,North,Card,135.33,Value
277,100017,2023-12-11,166.45,5,App,Grocery,0.0,West,Card,166.45,Value
278,100017,2023-12-20,53.1,2,App,Beauty,1.67,North,UPI,52.21,Value
279,100017,2024-01-02,54.67,3,Web,Grocery,0.0,East,Card,54.67,Value
280,100017,2024-02-16,71.9,3,App,Beauty,0.0,North,Wallet,71.9,Value
281,100017,2024-04-20,49.72,2,App,Home,0.0,West,Card,49.72,Value
282,100017,2024-05-03,61.71,2,App,Home,5.33,East,Card,58.42,Value
283,100017,2024-05-05,129.34,4,App,Sports,8.57,West,UPI,118.25,Value
284,100017,2024-05-27,108.88,2,App,Fashion,10.57,North,COD,97.37,Value
285,100017,2024-06-27,119.19,2,Web,Fashion,7.45,West,Card,110.31,Value
286,100017,2024-09-04,93.47,1,App,Beauty,0.0,North,Card,93.47,Value
287,100017,2024-09-10,161.16,4,Store,Sports,3.7,West,Card,155.19,Value
288,100017,2024-09-29,102.4,2,App,Fashion,0.32,East,Wallet,102.07,Value
289,100017,2024-10-15,27.16,3,App,Electronics,10.15,East,Card,24.4,Value
290,100017,2024-11-19,37.16,2,App,Electronics,5.95,North,UPI,34.94,Value
291,100018,2023-01-18,60.73,2,Web,Beauty,12.7,East,COD,53.02,Bargain
292,100018,2023-01-27,80.79,4,App,Fashion,17.04,South,COD,67.02,Bargain
293,100018,2023-02-01,46.8,2,Web,Fashion,0.0,West,Wallet,46.8,Bargain
294,100018,2023-06-26,68.3,4,App,Electronics,7.7,North,Wallet,63.04,Bargain
295,100018,2023-10-30,26.54,2,App,Home,9.76,West,UPI,23.95,Bargain
296,100018,2024-04-29,56.41,1,Web,Beauty,7.91,North,Card,51.95,Bargain
297,100018,2024-06-11,67.68,2,App,Grocery,12.34,South,Wallet,59.33,Bargain
298,100018,2024-07-31,44.78,3,App,Electronics,16.39,South,Card,37.44,Bargain
299,100018,2024-08-01,19.2,3,App,Electronics,14.61,West,UPI,16.4,Bargain
300,100018,2024-11-21,20.68,4,Web,Fashion,8.07,East,UPI,19.01,Bargain
301,100018,2024-12-21,67.27,3,App,Grocery,8.85,East,Card,61.32,Bargain
302,100019,2023-01-26,20.96,4,App,Beauty,4.52,South,UPI,20.01,Regular
303,100019,2023-02-26,48.22,3,Store,Beauty,4.19,North,COD,46.2,Regular
304,100019,2023-03-19,113.13,5,Web,Grocery,8.44,West,Card,103.58,Regular
305,100019,2023-06-16,68.03,2,App,Fashion,0.0,South,Card,68.03,Regular
306,100019,2023-09-27,39.59,3,Web,Home,7.79,North,Wallet,36.5,Regular
307,100019,2023-10-12,39.64,3,Web,Beauty,6.56,South,UPI,37.04,Regular
308,100019,2023-12-12,24.96,2,App,Home,0.0,South,Card,24.96,Regular
309,100019,2023-12-27,34.27,2,App,Grocery,1.09,North,UPI,33.9,Regular
310,100019,2024-01-07,102.99,2,App,Grocery,11.38,South,Card,91.27,Regular
311,100019,2024-01-15,89.19,4,App,Sports,8.22,East,Card,81.85,Regular
312,100019,2024-01-31,61.34,3,Web,Fashion,8.15,North,Card,56.35,Regular
313,100019,2024-02-20,71.07,2,App,Beauty,7.46,East,Card,65.77,Regular
314,100019,2024-03-06,153.85,2,App,Beauty,6.4,North,Wallet,144.01,Regular
315,100019,2024-03-08,38.26,4,App,Fashion,15.24,East,COD,32.43,Regular
316,100019,2024-03-28,49.13,1,App,Electronics,2.23,East,Card,48.03,Regular
317,100019,2024-06-21,46.25,5,App,Sports,0.97,North,Card,45.8,Regular
318,100019,2024-07-20,51.64,2,Web,Sports,7.59,South,Wallet,47.72,Regular
319,100019,2024-08-09,63.4,1,App,Sports,5.83,North,COD,59.71,Regular
320,100019,2024-09-13,107.78,2,App,Electronics,15.34,West,Card,91.25,Regular
321,100019,2024-09-17,63.42,4,Web,Beauty,23.35,West,Card,48.61,Regular
322,100019,2024-10-16,44.3,5,App,Home,7.13,West,COD,41.14,Regular
323,100019,2024-10-22,46.47,6,App,Grocery,15.02,East,UPI,39.49,Regular
324,100019,2024-11-10,35.61,2,App,Electronics,12.92,East,Card,31.01,Regular
325,100019,2024-11-13,82.39,2,Web,Fashion,14.15,East,Card,70.73,Regular
326,100019,2024-11-22,58.18,3,Web,Grocery,16.25,West,Card,48.72,Regular
